transaction_time,account_number,transaction_type,amount,source_file
2024-04-19 19:36:22,567583879,Transfer,5647.86,transactions6.csv
2024-04-19 19:36:22,483922007,Transfer,4745.64,transactions6.csv
2024-04-19 19:36:22,881664479,Transfer,9304.35,transactions6.csv
2024-04-19 19:36:22,800133099,Transfer,5247.51,transactions6.csv
2024-04-19 19:36:22,984617160,Transfer,8155.96,transactions6.csv
2024-04-19 19:36:22,862986947,Transfer,2153.9,transactions6.csv
2024-04-19 19:36:22,616218555,Withdrawal,5026.57,transactions6.csv
2024-04-19 19:36:22,862986947,Withdrawal,190.5,transactions6.csv
2024-04-19 19:36:22,862986947,Transfer,4949.48,transactions6.csv
2024-04-19 19:36:22,912464069,Deposit,310.74,transactions6.csv
2024-04-19 19:36:22,461704306,Withdrawal,6114.26,transactions6.csv
2024-04-19 19:36:22,824707383,Transfer,7341.35,transactions6.csv
2024-04-19 19:36:22,800133099,Deposit,7568.06,transactions6.csv
2024-04-19 19:36:22,638990857,Withdrawal,8081.85,transactions6.csv
2024-04-19 19:36:22,567583879,Transfer,7800.05,transactions6.csv
2024-04-19 19:36:22,567583879,Deposit,3862.74,transactions6.csv
2024-04-19 19:36:22,912464069,Deposit,6908.52,transactions6.csv
2024-04-19 19:36:22,862986947,Transfer,5397.26,transactions6.csv
2024-04-19 19:36:22,357545469,Transfer,5983.07,transactions6.csv
2024-04-19 19:36:22,616218555,Withdrawal,2350.8,transactions6.csv
2024-04-19 19:36:22,567583879,Withdrawal,9055.35,transactions6.csv
2024-04-19 19:36:22,984617160,Withdrawal,9367.03,transactions6.csv
2024-04-19 19:36:22,539884640,Withdrawal,5014.92,transactions6.csv
2024-04-19 19:36:22,539884640,Transfer,3378.58,transactions6.csv
2024-04-19 19:36:22,800133099,Transfer,5336.3,transactions6.csv
2024-04-19 19:36:22,638990857,Transfer,5846.54,transactions6.csv
2024-04-19 19:36:22,616218555,Transfer,7353.49,transactions6.csv
2024-04-19 19:36:22,912464069,Deposit,241.33,transactions6.csv
2024-04-19 19:36:22,881664479,Transfer,2451.18,transactions6.csv
2024-04-19 19:36:22,616218555,Transfer,2992.25,transactions6.csv
2024-04-19 19:36:22,937647425,Deposit,4660.69,transactions6.csv
2024-04-19 19:36:22,912464069,Withdrawal,9727.47,transactions6.csv
2024-04-19 19:36:22,937647425,Withdrawal,6962.64,transactions6.csv
2024-04-19 19:36:22,881664479,Withdrawal,6224.27,transactions6.csv
2024-04-19 19:36:22,567583879,Transfer,8639.85,transactions6.csv
2024-04-19 19:36:22,461704306,Withdrawal,7281.21,transactions6.csv
2024-04-19 19:36:22,638990857,Withdrawal,4263.37,transactions6.csv
2024-04-19 19:36:22,461704306,Deposit,4847.59,transactions6.csv
2024-04-19 19:36:22,483922007,Transfer,921.6,transactions6.csv
2024-04-19 19:36:22,567583879,Withdrawal,7262.32,transactions6.csv
2024-04-19 19:36:22,984617160,Transfer,5323.7,transactions6.csv
2024-04-19 19:36:22,461704306,Deposit,3203.25,transactions6.csv
2024-04-19 19:36:22,616218555,Withdrawal,3541.14,transactions6.csv
2024-04-19 19:36:22,824707383,Transfer,9980.22,transactions6.csv
2024-04-19 19:36:22,461704306,Deposit,9689.23,transactions6.csv
2024-04-19 19:36:22,638990857,Deposit,9431.9,transactions6.csv
2024-04-19 19:36:22,461704306,Deposit,881.41,transactions6.csv
2024-04-19 19:36:22,912464069,Deposit,3573.93,transactions6.csv
2024-04-19 19:36:22,638990857,Deposit,5528.21,transactions6.csv
2024-04-19 19:36:22,912464069,Transfer,9274.41,transactions6.csv
2024-04-19 19:36:22,881664479,Withdrawal,974.89,transactions6.csv
2024-04-19 19:36:22,567583879,Withdrawal,5340.23,transactions6.csv
2024-04-19 19:36:22,912464069,Transfer,7422.69,transactions6.csv
2024-04-19 19:36:22,881664479,Deposit,7507.46,transactions6.csv
2024-04-19 19:36:22,881664479,Transfer,6776.28,transactions6.csv
2024-04-19 19:36:22,800133099,Deposit,1196.31,transactions6.csv
2024-04-19 19:36:22,984617160,Withdrawal,9349.37,transactions6.csv
2024-04-19 19:36:22,800133099,Withdrawal,7858.61,transactions6.csv
2024-04-19 19:36:22,984617160,Deposit,3729.74,transactions6.csv
2024-04-19 19:36:22,912464069,Transfer,192.57,transactions6.csv
2024-04-19 19:36:22,824707383,Deposit,6618.98,transactions6.csv
2024-04-19 19:36:22,539884640,Deposit,451.49,transactions6.csv
2024-04-19 19:36:22,912464069,Transfer,7113.23,transactions6.csv
2024-04-19 19:36:22,824707383,Transfer,2688.18,transactions6.csv
2024-04-19 19:36:22,567583879,Withdrawal,1383.3,transactions6.csv
2024-04-19 19:36:22,461704306,Deposit,6918.8,transactions6.csv
2024-04-19 19:36:22,539884640,Deposit,2916.05,transactions6.csv
2024-04-19 19:36:22,862986947,Transfer,772.54,transactions6.csv
2024-04-19 19:36:22,567583879,Withdrawal,2238.45,transactions6.csv
2024-04-19 19:36:22,862986947,Withdrawal,6802.54,transactions6.csv
2024-04-19 19:36:22,937647425,Transfer,4353.1,transactions6.csv
2024-04-19 19:36:22,638990857,Transfer,9387.61,transactions6.csv
2024-04-19 19:36:22,539884640,Deposit,2763.69,transactions6.csv
2024-04-19 19:36:22,881664479,Withdrawal,5137.17,transactions6.csv
2024-04-19 19:36:22,937647425,Deposit,9552.63,transactions6.csv
2024-04-19 19:36:22,824707383,Deposit,3916.64,transactions6.csv
2024-04-19 19:36:22,357545469,Transfer,7380.29,transactions6.csv
2024-04-19 19:36:22,539884640,Withdrawal,4188.02,transactions6.csv
2024-04-19 19:36:22,912464069,Transfer,6965.57,transactions6.csv
2024-04-19 19:36:22,483922007,Transfer,5811.94,transactions6.csv
2024-04-19 19:36:22,539884640,Withdrawal,6399.98,transactions6.csv
2024-04-19 19:36:22,824707383,Transfer,5740.31,transactions6.csv
2024-04-19 19:36:22,483922007,Transfer,7288.51,transactions6.csv
2024-04-19 19:36:22,881664479,Transfer,3465.73,transactions6.csv
2024-04-19 19:36:22,638990857,Transfer,21.26,transactions6.csv
2024-04-19 19:36:22,616218555,Deposit,7205.82,transactions6.csv
2024-04-19 19:36:22,461704306,Withdrawal,1287.38,transactions6.csv
2024-04-19 19:36:22,824707383,Deposit,6494.66,transactions6.csv
2024-04-19 19:36:22,616218555,Deposit,5846.73,transactions6.csv
2024-04-19 19:36:22,881664479,Deposit,912.16,transactions6.csv
2024-04-19 19:36:22,357545469,Transfer,2981.06,transactions6.csv
2024-04-19 19:36:22,539884640,Deposit,2967.34,transactions6.csv
2024-04-19 19:36:22,483922007,Deposit,3264.99,transactions6.csv
2024-04-19 19:36:22,461704306,Deposit,4253.67,transactions6.csv
2024-04-19 19:36:22,461704306,Withdrawal,6052.62,transactions6.csv
2024-04-19 19:36:22,567583879,Deposit,2427.09,transactions6.csv
2024-04-19 19:36:22,567583879,Deposit,2695.59,transactions6.csv
2024-04-19 19:36:22,461704306,Transfer,1023.23,transactions6.csv
2024-04-19 19:36:22,862986947,Withdrawal,136.78,transactions6.csv
2024-04-19 19:36:22,824707383,Transfer,7345.07,transactions6.csv
2024-04-19 19:36:22,483922007,Deposit,2486.95,transactions6.csv
2024-04-19 19:36:22,984617160,Withdrawal,3066.9,transactions6.csv
2024-04-19 19:36:22,567583879,Transfer,1756.47,transactions6.csv
2024-04-19 19:36:22,862986947,Deposit,675.92,transactions6.csv
2024-04-19 19:36:22,937647425,Transfer,5909.96,transactions6.csv
2024-04-19 19:36:22,461704306,Withdrawal,7611.49,transactions6.csv
2024-04-19 19:36:22,984617160,Transfer,5249.58,transactions6.csv
2024-04-19 19:36:22,461704306,Withdrawal,1648.15,transactions6.csv
2024-04-19 19:36:22,824707383,Withdrawal,3280.58,transactions6.csv
2024-04-19 19:36:22,567583879,Withdrawal,2854.65,transactions6.csv
2024-04-19 19:36:22,912464069,Deposit,8685.81,transactions6.csv
2024-04-19 19:36:22,912464069,Withdrawal,57.89,transactions6.csv
2024-04-19 19:36:22,567583879,Transfer,8579.16,transactions6.csv
2024-04-19 19:36:22,616218555,Transfer,8329.31,transactions6.csv
2024-04-19 19:36:22,357545469,Transfer,2783.29,transactions6.csv
2024-04-19 19:36:22,539884640,Withdrawal,9906.75,transactions6.csv
2024-04-19 19:36:22,567583879,Transfer,9993.0,transactions6.csv
2024-04-19 19:36:22,912464069,Deposit,8271.31,transactions6.csv
2024-04-19 19:36:22,638990857,Deposit,8780.88,transactions6.csv
2024-04-19 19:36:22,357545469,Transfer,8543.93,transactions6.csv
2024-04-19 19:36:22,539884640,Transfer,2430.81,transactions6.csv
2024-04-19 19:36:22,483922007,Withdrawal,421.15,transactions6.csv
2024-04-19 19:36:22,483922007,Withdrawal,4910.37,transactions6.csv
2024-04-19 19:36:22,881664479,Deposit,6319.71,transactions6.csv
2024-04-19 19:36:22,824707383,Withdrawal,8595.49,transactions6.csv
2024-04-19 19:36:22,984617160,Withdrawal,46.13,transactions6.csv
2024-04-19 19:36:22,539884640,Withdrawal,8332.04,transactions6.csv
2024-04-19 19:36:22,912464069,Withdrawal,9812.76,transactions6.csv
2024-04-19 19:36:22,539884640,Deposit,3937.36,transactions6.csv
2024-04-19 19:36:22,567583879,Transfer,9726.16,transactions6.csv
2024-04-19 19:36:22,984617160,Transfer,9796.68,transactions6.csv
2024-04-19 19:36:22,483922007,Deposit,5212.47,transactions6.csv
2024-04-19 19:36:22,461704306,Deposit,7538.34,transactions6.csv
2024-04-19 19:36:22,567583879,Deposit,8544.46,transactions6.csv
2024-04-19 19:36:22,937647425,Transfer,5152.1,transactions6.csv
2024-04-19 19:36:22,567583879,Transfer,5649.85,transactions6.csv
2024-04-19 19:36:22,881664479,Withdrawal,1585.32,transactions6.csv
2024-04-19 19:36:22,824707383,Transfer,5876.9,transactions6.csv
2024-04-19 19:36:22,638990857,Deposit,6552.19,transactions6.csv
2024-04-19 19:36:22,567583879,Withdrawal,1881.2,transactions6.csv
2024-04-19 19:36:22,937647425,Withdrawal,7016.26,transactions6.csv
2024-04-19 19:36:22,357545469,Deposit,5723.24,transactions6.csv
2024-04-19 19:36:22,461704306,Deposit,7782.42,transactions6.csv
2024-04-19 19:36:22,862986947,Deposit,3092.4,transactions6.csv
2024-04-19 19:36:22,539884640,Transfer,723.07,transactions6.csv
2024-04-19 19:36:22,539884640,Transfer,250.77,transactions6.csv
2024-04-19 19:36:22,638990857,Transfer,364.59,transactions6.csv
2024-04-19 19:36:22,638990857,Transfer,8999.27,transactions6.csv
2024-04-19 19:36:22,539884640,Withdrawal,8397.05,transactions6.csv
2024-04-19 19:36:22,912464069,Deposit,1224.49,transactions6.csv
2024-04-19 19:36:22,638990857,Withdrawal,1163.36,transactions6.csv
2024-04-19 19:36:22,567583879,Transfer,3002.96,transactions6.csv
2024-04-19 19:36:22,357545469,Transfer,9067.31,transactions6.csv
2024-04-19 19:36:22,567583879,Transfer,9977.29,transactions6.csv
2024-04-19 19:36:22,937647425,Transfer,749.41,transactions6.csv
2024-04-19 19:36:22,357545469,Transfer,989.8,transactions6.csv
2024-04-19 19:36:22,824707383,Transfer,3331.38,transactions6.csv
2024-04-19 19:36:22,824707383,Deposit,1828.12,transactions6.csv
2024-04-19 19:36:22,638990857,Transfer,9992.48,transactions6.csv
2024-04-19 19:36:22,616218555,Transfer,8410.62,transactions6.csv
2024-04-19 19:36:22,461704306,Transfer,5785.34,transactions6.csv
2024-04-19 19:36:22,984617160,Transfer,7335.82,transactions6.csv
2024-04-19 19:36:22,984617160,Withdrawal,4043.63,transactions6.csv
2024-04-19 19:36:22,461704306,Withdrawal,3584.73,transactions6.csv
2024-04-19 19:36:22,539884640,Withdrawal,4257.43,transactions6.csv
2024-04-19 19:36:22,567583879,Transfer,133.65,transactions6.csv
2024-04-19 19:36:22,567583879,Withdrawal,1766.0,transactions6.csv
2024-04-19 19:36:22,937647425,Withdrawal,3043.12,transactions6.csv
2024-04-19 19:36:22,638990857,Transfer,1766.91,transactions6.csv
2024-04-19 19:36:22,461704306,Withdrawal,6994.84,transactions6.csv
2024-04-19 19:36:22,461704306,Transfer,784.1,transactions6.csv
2024-04-19 19:36:22,483922007,Deposit,1668.39,transactions6.csv
2024-04-19 19:36:22,984617160,Transfer,392.24,transactions6.csv
2024-04-19 19:36:22,800133099,Withdrawal,7886.82,transactions6.csv
2024-04-19 19:36:22,984617160,Deposit,5991.52,transactions6.csv
2024-04-19 19:36:22,483922007,Transfer,2980.08,transactions6.csv
2024-04-19 19:36:22,824707383,Transfer,7744.78,transactions6.csv
2024-04-19 19:36:22,483922007,Withdrawal,4529.42,transactions6.csv
2024-04-19 19:36:22,912464069,Transfer,674.54,transactions6.csv
2024-04-19 19:36:22,912464069,Withdrawal,1182.96,transactions6.csv
2024-04-19 19:36:22,567583879,Deposit,4354.79,transactions6.csv
2024-04-19 19:36:22,862986947,Deposit,6068.7,transactions6.csv
2024-04-19 19:36:22,937647425,Deposit,3459.19,transactions6.csv
2024-04-19 19:36:22,616218555,Transfer,825.24,transactions6.csv
2024-04-19 19:36:22,461704306,Withdrawal,2293.85,transactions6.csv
2024-04-19 19:36:22,461704306,Withdrawal,2939.48,transactions6.csv
2024-04-19 19:36:22,881664479,Transfer,4220.86,transactions6.csv
2024-04-19 19:36:22,862986947,Deposit,926.73,transactions6.csv
2024-04-19 19:36:22,862986947,Transfer,1860.35,transactions6.csv
2024-04-19 19:36:22,539884640,Withdrawal,569.45,transactions6.csv
2024-04-19 19:36:22,616218555,Deposit,5080.53,transactions6.csv
2024-04-19 19:36:22,800133099,Withdrawal,1203.86,transactions6.csv
2024-04-19 19:36:22,912464069,Transfer,34.07,transactions6.csv
2024-04-19 19:36:22,638990857,Withdrawal,355.59,transactions6.csv
2024-04-19 19:36:22,912464069,Transfer,6610.88,transactions6.csv
2024-04-19 19:36:22,824707383,Transfer,5261.35,transactions6.csv
2024-04-19 19:36:22,862986947,Deposit,8865.76,transactions6.csv
2024-04-19 19:36:22,483922007,Withdrawal,784.69,transactions6.csv
2024-04-19 19:36:22,461704306,Deposit,7436.31,transactions6.csv
2024-04-19 19:36:22,461704306,Withdrawal,6693.31,transactions6.csv
2024-04-19 19:36:22,881664479,Transfer,6118.53,transactions6.csv
2024-04-19 19:36:22,881664479,Transfer,5405.39,transactions6.csv
2024-04-19 19:36:22,616218555,Transfer,4145.2,transactions6.csv
2024-04-19 19:36:22,984617160,Deposit,1500.87,transactions6.csv
2024-04-19 19:36:22,567583879,Deposit,4227.37,transactions6.csv
2024-04-19 19:36:22,800133099,Deposit,5008.02,transactions6.csv
2024-04-19 19:36:22,984617160,Withdrawal,9396.58,transactions6.csv
2024-04-19 19:36:22,638990857,Deposit,1516.32,transactions6.csv
2024-04-19 19:36:22,800133099,Deposit,6455.24,transactions6.csv
2024-04-19 19:36:22,824707383,Transfer,9804.43,transactions6.csv
2024-04-19 19:36:22,483922007,Transfer,5143.58,transactions6.csv
2024-04-19 19:36:22,800133099,Withdrawal,4663.89,transactions6.csv
2024-04-19 19:36:22,937647425,Deposit,2116.51,transactions6.csv
2024-04-19 19:36:22,984617160,Transfer,1056.08,transactions6.csv
2024-04-19 19:36:22,937647425,Transfer,235.1,transactions6.csv
2024-04-19 19:36:22,567583879,Withdrawal,1646.71,transactions6.csv
2024-04-19 19:36:22,539884640,Transfer,9684.4,transactions6.csv
2024-04-19 19:36:22,638990857,Transfer,1991.94,transactions6.csv
2024-04-19 19:36:22,937647425,Withdrawal,8459.14,transactions6.csv
2024-04-19 19:36:22,357545469,Deposit,2011.92,transactions6.csv
2024-04-19 19:36:22,881664479,Withdrawal,4451.88,transactions6.csv
2024-04-19 19:36:22,539884640,Withdrawal,7454.73,transactions6.csv
2024-04-19 19:36:22,862986947,Withdrawal,1322.57,transactions6.csv
2024-04-19 19:36:22,800133099,Transfer,6883.65,transactions6.csv
2024-04-19 19:36:22,800133099,Withdrawal,4991.58,transactions6.csv
2024-04-19 19:36:22,984617160,Deposit,3488.04,transactions6.csv
2024-04-19 19:36:22,357545469,Withdrawal,2379.27,transactions6.csv
2024-04-19 19:36:22,616218555,Deposit,832.67,transactions6.csv
