transaction_time,account_number,transaction_type,amount
2024-04-18 19:09:38,522671698,Deposit,8324.69
2024-04-18 19:09:38,895942897,Transfer,2120.27
2024-04-18 19:09:38,316448825,Deposit,5066.17
2024-04-18 19:09:38,655098213,Transfer,7061.39
2024-04-18 19:09:38,941396469,Withdrawal,8637.24
2024-04-18 19:09:38,216091412,Deposit,7211.76
2024-04-18 19:09:38,917000885,Deposit,6381.9
2024-04-18 19:09:38,244288632,Deposit,601.03
2024-04-18 19:09:38,852993653,Withdrawal,2271.47
2024-04-18 19:09:38,941511696,Deposit,6212.29
2024-04-18 19:09:38,676617495,Transfer,7252.01
2024-04-18 19:09:38,629397293,Transfer,4348.31
2024-04-18 19:09:38,121716918,Transfer,5057.1
2024-04-18 19:09:38,895942897,Withdrawal,9041.21
2024-04-18 19:09:38,121716918,Transfer,7535.05
2024-04-18 19:09:38,376399485,Transfer,3176.96
2024-04-18 19:09:38,195544415,Deposit,6402.79
2024-04-18 19:09:38,324606607,Transfer,8141.97
2024-04-18 19:09:38,197666054,Withdrawal,416.54
2024-04-18 19:09:38,707703825,Withdrawal,248.37
2024-04-18 19:09:38,852993653,Deposit,418.1
2024-04-18 19:09:38,917000885,Withdrawal,2673.75
2024-04-18 19:09:38,376399485,Deposit,8506.1
2024-04-18 19:09:38,324606607,Deposit,9491.75
2024-04-18 19:09:38,475219621,Transfer,4514.79
2024-04-18 19:09:38,953447691,Deposit,887.44
2024-04-18 19:09:38,173798948,Deposit,1199.76
2024-04-18 19:09:38,468764610,Transfer,2948.44
2024-04-18 19:09:38,807920112,Withdrawal,9042.59
2024-04-18 19:09:38,374346986,Withdrawal,4910.27
2024-04-18 19:09:38,931063947,Withdrawal,131.58
2024-04-18 19:09:38,282338897,Transfer,7283.65
2024-04-18 19:09:38,346661506,Transfer,6666.49
2024-04-18 19:09:38,112511530,Withdrawal,6893.32
2024-04-18 19:09:38,902914777,Transfer,8447.14
2024-04-18 19:09:38,267526471,Withdrawal,5190.84
2024-04-18 19:09:38,852993653,Withdrawal,8008.59
2024-04-18 19:09:38,112868047,Deposit,7666.32
2024-04-18 19:09:38,902914777,Withdrawal,8808.69
2024-04-18 19:09:38,522671698,Withdrawal,8704.53
2024-04-18 19:09:38,213174731,Deposit,1722.01
2024-04-18 19:09:38,945199649,Deposit,3699.83
2024-04-18 19:09:38,676617495,Deposit,4540.65
2024-04-18 19:09:38,676617495,Withdrawal,7715.95
2024-04-18 19:09:38,267526471,Deposit,8776.05
2024-04-18 19:09:38,953447691,Withdrawal,7644.07
2024-04-18 19:09:38,853811855,Withdrawal,6089.57
2024-04-18 19:09:38,112511530,Transfer,8429.52
2024-04-18 19:09:38,304860183,Transfer,7183.06
2024-04-18 19:09:38,532767904,Withdrawal,679.94
2024-04-18 19:09:38,282338897,Transfer,4686.34
2024-04-18 19:09:38,754797626,Deposit,3018.51
2024-04-18 19:09:38,622375529,Deposit,1384.23
2024-04-18 19:09:38,346661506,Transfer,1792.29
2024-04-18 19:09:38,922837825,Deposit,7779.2
2024-04-18 19:09:38,475219621,Transfer,188.1
2024-04-18 19:09:38,262722019,Withdrawal,982.2
2024-04-18 19:09:38,216091412,Withdrawal,183.09
2024-04-18 19:09:38,488118742,Deposit,324.16
2024-04-18 19:09:38,676617495,Transfer,3641.73
2024-04-18 19:09:38,916650668,Deposit,4090.27
2024-04-18 19:09:38,436593626,Deposit,1997.17
2024-04-18 19:09:38,516217395,Transfer,5206.73
2024-04-18 19:09:38,941396469,Withdrawal,5159.89
2024-04-18 19:09:38,152794222,Deposit,7588.93
2024-04-18 19:09:38,629397293,Withdrawal,9951.03
2024-04-18 19:09:38,620495354,Transfer,4467.02
2024-04-18 19:09:38,134038962,Withdrawal,917.74
2024-04-18 19:09:38,893184734,Deposit,7471.03
2024-04-18 19:09:38,430099433,Withdrawal,5940.89
2024-04-18 19:09:38,188945741,Transfer,7131.46
2024-04-18 19:09:38,471565389,Deposit,9740.07
2024-04-18 19:09:38,195544415,Transfer,3035.23
2024-04-18 19:09:38,436593626,Withdrawal,7340.53
2024-04-18 19:09:38,806797892,Transfer,8297.67
2024-04-18 19:09:38,195544415,Deposit,1874.3
2024-04-18 19:09:38,525145042,Deposit,5645.23
2024-04-18 19:09:38,565996550,Deposit,7035.96
2024-04-18 19:09:38,895942897,Transfer,7333.03
2024-04-18 19:09:38,922837825,Deposit,5943.84
2024-04-18 19:09:38,316448825,Withdrawal,420.76
2024-04-18 19:09:38,806797892,Transfer,5538.16
2024-04-18 19:09:38,488118742,Deposit,2543.7
2024-04-18 19:09:38,806797892,Withdrawal,1649.85
2024-04-18 19:09:38,121716918,Transfer,8222.63
2024-04-18 19:09:38,475219621,Deposit,5097.1
2024-04-18 19:09:38,282338897,Transfer,4285.41
2024-04-18 19:09:38,310150600,Withdrawal,4660.18
2024-04-18 19:09:38,806797892,Transfer,2047.95
2024-04-18 19:09:38,203931273,Deposit,7552.72
2024-04-18 19:09:38,316448825,Withdrawal,608.58
2024-04-18 19:09:38,471565389,Withdrawal,9874.85
2024-04-18 19:09:38,436593626,Deposit,748.77
2024-04-18 19:09:38,471565389,Withdrawal,9911.27
2024-04-18 19:09:38,421642361,Transfer,9107.09
2024-04-18 19:09:38,516217395,Withdrawal,7294.35
2024-04-18 19:09:38,922837825,Deposit,3506.76
2024-04-18 19:09:38,522671698,Deposit,9341.08
2024-04-18 19:09:38,623866651,Deposit,3805.61
2024-04-18 19:09:38,216091412,Deposit,1170.15
